Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACGL,Arch Capital Group Ltd. Common Stock,$44.44,-1.51,-3.286%,16693956882.00,Bermuda,,1668659,Finance,Property-Casualty Insurers
AFG,American Financial Group Inc. Common Stock,$138.47,-4.13,-2.896%,11784077540.00,United States,,426280,Finance,Property-Casualty Insurers
AFL,AFLAC Incorporated Common Stock,$55.52,-0.72,-1.28%,35764015150.00,United States,,2079279,Finance,Accident &Health Insurance
AIG,American International Group Inc. New Common Stock,$51.13,-0.89,-1.711%,44049810779.00,United States,,4266242,Finance,Life Insurance
AJG,Arthur J. Gallagher & Co. Common Stock,$166.07,1.44,0.875%,34885992760.00,United States,,620470,Finance,Specialty Insurers
ALL,Allstate Corporation (The) Common Stock,$128.90,-1.80,-1.377%,35445308442.00,United States,,2336920,Finance,Property-Casualty Insurers
ALLY,Ally Financial Inc. Common Stock,$34.55,0.35,1.023%,11161241615.00,United States,2014,3024638,Finance,Diversified Financial Services
AMP,Ameriprise Financial Inc. Common Stock,$235.31,-2.66,-1.118%,25861625071.00,United States,,779162,Finance,Investment Managers
AMT,American Tower Corporation (REIT) Common Stock,$255.94,-2.46,-0.952%,119148367063.00,United States,,1321658,Finance,Trusts Except Educational Religious and Charitable
AON,Aon plc Class A Ordinary Shares (Ireland),$275.97,2.05,0.748%,58611585435.00,United States,,682208,Finance,Specialty Insurers
APO,Apollo Global Management Inc. (New) Common Stock,$51.07,1.81,3.674%,29337595901.00,,,3061043,Finance,Investment Managers
ARES,Ares Management Corporation Class A Common Stock,$60.03,1.48,2.528%,10508692660.00,,2014,814267,Finance,Investment Managers
AXP,American Express Company Common Stock,$139.65,-0.75,-0.534%,105164867823.00,United States,,4057491,Finance,Finance: Consumer Services
BAC,Bank of America Corporation Common Stock,$31.24,-0.32,-1.014%,269515369724.00,United States,,47442656,Finance,Major Banks
BBD,Banco Bradesco Sa American Depositary Shares,$3.17,-0.06,-1.858%,33787407049.00,Brazil,,33339665,Finance,Commercial Banks
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),$2.62,-0.09,-3.321%,27925238633.00,Brazil,,36465,Finance,Commercial Banks
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$4.39,-0.15,-3.304%,27932465498.00,Spain,,2613862,Finance,Commercial Banks
BCS,Barclays PLC Common Stock,$7.31,-0.29,-3.816%,30149794676.00,United Kingdom,,13680756,Finance,Commercial Banks
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),$17.76,-0.19,-1.058%,22455867166.00,China,2020,17852391,Finance,Real Estate
BEN,Franklin Resources Inc. Common Stock,$23.82,0.24,1.018%,11908193182.00,United States,,2151012,Finance,Investment Managers
BK,The Bank of New York Mellon Corporation Common Stock,$42.08,-0.34,-0.802%,33992150065.00,United States,,3026559,Finance,Investment Managers
BLK,BlackRock Inc. Common Stock,$620.72,4.02,0.652%,94041100444.00,United States,1999,572841,Finance,Investment Bankers/Brokers/Service
BRO,Brown & Brown Inc. Common Stock,$59.90,0.57,0.961%,16908150244.00,United States,,2447322,Finance,Specialty Insurers
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,$5.36,-0.12,-2.19%,39982228560.00,Brazil,2009,2675152,Finance,Commercial Banks
